field	field_role	type	n_present	missing_pct	values	association_status	action_block_assoc	action_recheck_assoc	action_enter_assoc	association_n
payload.ai_market_snapshot_v1.broker_route_match_state	collected_raw_precursor	categorical	17025	2.76	"{""matched"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.captured_at	collected_raw_precursor	categorical	17025	2.76	{}	identity_or_clock				17025
payload.ai_market_snapshot_v1.decision_stage	collected_raw_precursor	categorical	17025	2.76	"{""entry_context"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.effective_venue	collected_raw_precursor	categorical	17025	2.76	"{""KRX"": 12974, ""KRX_NXT_INTEGRATED"": 3083, ""PREMARKET_KRX_LIKE"": 968}"	computed_or_insufficient	0.06775	0.06905	0.01221	17025
payload.ai_market_snapshot_v1.effective_venue_input	collected_raw_precursor	categorical	17025	2.76	"{""KRX"": 12880, ""KRX_NXT_INTEGRATED"": 3177, ""PREMARKET_KRX_LIKE"": 968}"	computed_or_insufficient	0.06644	0.06783	0.01234	17025
payload.ai_market_snapshot_v1.executable_quote_reanchor.applied	collected_raw_precursor	categorical	17025	2.76	"{""False"": 17023, ""True"": 2}"	computed_or_insufficient	0.00194	0.00225	0.00128	17025
payload.ai_market_snapshot_v1.executable_quote_reanchor.authority	collected_raw_precursor	categorical	17025	2.76	"{""quote_and_current_price_only"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.executable_quote_reanchor.freshness_state	collected_raw_precursor	categorical	17025	2.76	"{""fresh_ws"": 616, ""not_provided"": 16377, ""rest_enriched"": 3, ""stale"": 29}"	computed_or_insufficient	0.0116	0.00935	0.01064	17025
payload.ai_market_snapshot_v1.executable_quote_reanchor.observed_epoch	collected_raw_precursor	numeric	648	96.3	"{""max"": 1789641234.842, ""mean"": 1789496146.3219295, ""min"": 1789344469.1594}"	identity_or_clock				648
payload.ai_market_snapshot_v1.executable_quote_reanchor.request_code	collected_raw_precursor	categorical	3	99.98	"{""115440"": 1, ""126730"": 1, ""290550"": 1}"	computed_or_insufficient				3
payload.ai_market_snapshot_v1.executable_quote_reanchor.source	collected_raw_precursor	categorical	17025	2.76	"{""ka10004_rest_orderbook"": 3, ""ws"": 17022}"	computed_or_insufficient	0.00212	0.00176	0.00156	17025
payload.ai_market_snapshot_v1.executable_quote_reanchor.tape_or_event_venue_authority	collected_raw_precursor	categorical	17025	2.76	"{""False"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.integrated_sor_execution_view_only	collected_raw_precursor	categorical	17025	2.76	"{""False"": 13346, ""True"": 3679}"	computed_or_insufficient	0.02045	0.01542	0.02168	17025
payload.ai_market_snapshot_v1.integrated_sor_route_proof	collected_raw_precursor	categorical	17025	2.76	"{""entry_sor_integrated_execution_view"": 3679, ""missing:integrated_candle_route,integrated_realtime_routes"": 9295, ""missing:krx_regular_cohort,sor_broker_route"": 3083, ""missing:krx_regular_cohort,sor_broker_route,integrated_candle_route"": 968}"	computed_or_insufficient	0.0785	0.07747	0.02341	17025
payload.ai_market_snapshot_v1.integrated_sor_route_proven	collected_raw_precursor	categorical	17025	2.76	"{""False"": 13346, ""True"": 3679}"	computed_or_insufficient	0.02045	0.01542	0.02168	17025
payload.ai_market_snapshot_v1.market_data_health.as_of_epoch	collected_raw_precursor	numeric	5016	71.35	"{""max"": 1790159949.063699, ""mean"": 1789850990.8454418, ""min"": 1789609056.1896}"	identity_or_clock				5016
payload.ai_market_snapshot_v1.market_data_health.decision_authority	collected_raw_precursor	categorical	5016	71.35	"{""False"": 5016}"	computed_or_insufficient				5016
payload.ai_market_snapshot_v1.market_data_health.executable_quote_receive_age_ms	collected_raw_precursor	numeric	5016	71.35	"{""max"": 2994.309902191162, ""mean"": 464.67642928690907, ""min"": 5.613088607788086}"	computed_or_insufficient	-0.0926	0.09178	0.00113	5016
payload.ai_market_snapshot_v1.market_data_health.missing_values_imputed	collected_raw_precursor	categorical	5016	71.35	"{""False"": 5016}"	computed_or_insufficient				5016
payload.ai_market_snapshot_v1.market_data_health.quiet_tape_after_ms	collected_raw_precursor	numeric	5016	71.35	"{""max"": 10000.0, ""mean"": 10000.0, ""min"": 10000.0}"	computed_or_insufficient				5016
payload.ai_market_snapshot_v1.market_data_health.quote_max_age_ms	collected_raw_precursor	numeric	5016	71.35	"{""max"": 3000.0, ""mean"": 3000.0, ""min"": 3000.0}"	computed_or_insufficient				5016
payload.ai_market_snapshot_v1.market_data_health.rest_quote	collected_raw_precursor	none	0	100.0	{}	no_observed_value				0
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.effective_venue	collected_raw_precursor	categorical	2375	86.44	"{""KRX"": 2375}"	computed_or_insufficient				2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.item	collected_raw_precursor	categorical	2375	86.44	{}	high_cardinality				2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.market_data_scope	collected_raw_precursor	categorical	2303	86.85	"{""KRX"": 2303}"	computed_or_insufficient				2303
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.market_no_print_proven	collected_raw_precursor	categorical	2375	86.44	"{""False"": 2375}"	computed_or_insufficient				2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.market_route	collected_raw_precursor	categorical	2375	86.44	"{""krx_only"": 2375}"	computed_or_insufficient				2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.observation_continuity_proven	collected_raw_precursor	categorical	2375	86.44	"{""False"": 41, ""True"": 2334}"	computed_or_insufficient	0.03017	0.03217	0.00573	2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.provider_trade_date_basis	collected_raw_precursor	categorical	1228	92.99	"{""local_receive_calendar_date_not_provider_date"": 1228}"	computed_or_insufficient				1228
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.provider_trade_time_precision_ms	collected_raw_precursor	numeric	1228	92.99	"{""max"": 1000.0, ""mean"": 1000.0, ""min"": 1000.0}"	computed_or_insufficient				1228
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.quiet_episode_count	collected_raw_precursor	numeric	2334	86.67	"{""max"": 2.0, ""mean"": 0.011996572407883462, ""min"": 0.0}"	computed_or_insufficient	-0.00368	0.01052	-0.01939	2334
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.quote_receive_age_ms	collected_raw_precursor	numeric	2375	86.44	"{""max"": 2994.309902191162, ""mean"": 414.9837084220513, ""min"": 8.5287}"	computed_or_insufficient	-0.1203	0.11489	0.01518	2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.quote_state	collected_raw_precursor	categorical	2375	86.44	"{""fresh"": 2375}"	computed_or_insufficient				2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.trade_activity_state	collected_raw_precursor	categorical	2375	86.44	"{""OBSERVATION_UNPROVEN"": 41, ""RECENT_TRADE"": 2334}"	computed_or_insufficient	0.03017	0.03217	0.00573	2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.trade_event_age_ms	collected_raw_precursor	numeric	2375	86.44	"{""max"": 46052.2206, ""mean"": 1667.9836759617565, ""min"": 80.1201}"	computed_or_insufficient	-0.02223	0.02168	0.00154	2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.trade_receive_age_ms	collected_raw_precursor	numeric	2375	86.44	"{""max"": 3304.8367500305176, ""mean"": 731.1689822780788, ""min"": 5.613088607788086}"	computed_or_insufficient	-0.10678	0.09683	0.02807	2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.transport_epoch	collected_raw_precursor	numeric	2375	86.44	"{""max"": 2.0, ""mean"": 1.0210526315789474, ""min"": 1.0}"	identity_or_clock				2375
payload.ai_market_snapshot_v1.market_data_health.routes.KRX|krx_only.underlying_event_venue_proven	collected_raw_precursor	categorical	2303	86.85	"{""True"": 2303}"	computed_or_insufficient				2303
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.effective_venue	collected_raw_precursor	categorical	2765	84.21	"{""UNKNOWN"": 2765}"	computed_or_insufficient				2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.item	collected_raw_precursor	categorical	2765	84.21	{}	high_cardinality				2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.market_data_scope	collected_raw_precursor	categorical	2726	84.43	"{""KRX_NXT_INTEGRATED"": 2725, ""UNKNOWN"": 1}"	computed_or_insufficient	0.02277	0.02149	0.00327	2726
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.market_no_print_proven	collected_raw_precursor	categorical	2765	84.21	"{""False"": 2765}"	computed_or_insufficient				2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.market_route	collected_raw_precursor	categorical	2765	84.21	"{""krx_nxt_integrated"": 2765}"	computed_or_insufficient				2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.observation_continuity_proven	collected_raw_precursor	categorical	2765	84.21	"{""False"": 144, ""True"": 2621}"	computed_or_insufficient	0.04117	0.03101	0.02978	2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.provider_trade_date_basis	collected_raw_precursor	categorical	1841	89.49	"{""local_receive_calendar_date_not_provider_date"": 1841}"	computed_or_insufficient				1841
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.provider_trade_time_precision_ms	collected_raw_precursor	numeric	1841	89.49	"{""max"": 1000.0, ""mean"": 1000.0, ""min"": 1000.0}"	computed_or_insufficient				1841
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.quiet_episode_count	collected_raw_precursor	numeric	2621	85.03	"{""max"": 2.0, ""mean"": 0.022892025944296072, ""min"": 0.0}"	computed_or_insufficient	-0.01968	0.01823	0.00383	2621
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.quote_receive_age_ms	collected_raw_precursor	numeric	2765	84.21	"{""max"": 197911.19027137756, ""mean"": 619.6372590836107, ""min"": 7.1757}"	computed_or_insufficient	0.00854	-0.00754	-0.00282	2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.quote_state	collected_raw_precursor	categorical	2765	84.21	"{""fresh"": 2764, ""stale"": 1}"	computed_or_insufficient	0.02234	0.02111	0.00322	2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.trade_activity_state	collected_raw_precursor	categorical	2765	84.21	"{""OBSERVATION_UNPROVEN"": 144, ""RECENT_TRADE"": 2621}"	computed_or_insufficient	0.04117	0.03101	0.02978	2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.trade_event_age_ms	collected_raw_precursor	numeric	2764	84.21	"{""max"": 74523.0987, ""mean"": 1835.5131973899381, ""min"": 92.8950309753418}"	computed_or_insufficient	-0.03088	0.0385	-0.0237	2764
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.trade_receive_age_ms	collected_raw_precursor	numeric	2764	84.21	"{""max"": 2996.1719512939453, ""mean"": 1009.2257778062913, ""min"": 11.1358}"	computed_or_insufficient	-0.03781	0.04798	-0.0316	2764
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.transport_epoch	collected_raw_precursor	numeric	2765	84.21	"{""max"": 2.0, ""mean"": 1.0383363471971068, ""min"": 1.0}"	identity_or_clock				2765
payload.ai_market_snapshot_v1.market_data_health.routes._AL|krx_nxt_integrated.underlying_event_venue_proven	collected_raw_precursor	categorical	2726	84.43	"{""False"": 2726}"	computed_or_insufficient				2726
payload.ai_market_snapshot_v1.market_data_health.schema	collected_raw_precursor	categorical	5016	71.35	"{""kiwoom_market_data_health_v1"": 5016}"	computed_or_insufficient				5016
payload.ai_market_snapshot_v1.market_data_health.transport_receive_age_ms	collected_raw_precursor	numeric	5016	71.35	"{""max"": 2984.4532, ""mean"": 433.27754075005305, ""min"": 5.613088607788086}"	computed_or_insufficient	-0.0965	0.09288	0.00925	5016
payload.ai_market_snapshot_v1.market_data_route	collected_raw_precursor	categorical	17025	2.76	"{""krx_nxt_integrated"": 7730, ""krx_only"": 9295}"	computed_or_insufficient	0.06779	0.0657	0.01037	17025
payload.ai_market_snapshot_v1.max_source_skew_ms	collected_raw_precursor	numeric	17025	2.76	"{""max"": 2916.658, ""mean"": 384.3415333333344, ""min"": 0.0}"	computed_or_insufficient	-0.02163	0.0235	-0.00737	17025
payload.ai_market_snapshot_v1.nxt_integrated_execution_view_only	collected_raw_precursor	categorical	17025	2.76	"{""False"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.nxt_integrated_execution_view_proof	collected_raw_precursor	categorical	17025	2.76	"{""removed:_AL_does_not_prove_NXT"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.nxt_integrated_execution_view_proven	collected_raw_precursor	categorical	17025	2.76	"{""False"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.decision_authority	collected_raw_precursor	categorical	17025	2.76	"{""provider_call_fail_closed_only"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.contains:broker_guard_bypass	collected_raw_precursor	categorical	17025	2.76	"{""False"": 0, ""True"": 17025}"	computed_or_insufficient	0.0	0.0	0.0	17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.contains:cross_venue_tuning	collected_raw_precursor	categorical	17025	2.76	"{""False"": 0, ""True"": 17025}"	computed_or_insufficient	0.0	0.0	0.0	17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.contains:provider_or_model_change	collected_raw_precursor	categorical	17025	2.76	"{""False"": 0, ""True"": 17025}"	computed_or_insufficient	0.0	0.0	0.0	17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.contains:standalone_buy_hold_or_exit_authority	collected_raw_precursor	categorical	17025	2.76	"{""False"": 0, ""True"": 17025}"	computed_or_insufficient	0.0	0.0	0.0	17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.contains:threshold_price_or_quantity_change	collected_raw_precursor	categorical	17025	2.76	"{""False"": 0, ""True"": 17025}"	computed_or_insufficient	0.0	0.0	0.0	17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.contains:underlying_event_venue_inference	collected_raw_precursor	categorical	17025	2.76	"{""False"": 0, ""True"": 17025}"	computed_or_insufficient	0.0	0.0	0.0	17025
payload.ai_market_snapshot_v1.observation_contract.forbidden_uses.length	collected_raw_precursor	numeric	17025	2.76	"{""max"": 6.0, ""mean"": 6.0, ""min"": 6.0}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.metric_role	collected_raw_precursor	categorical	17025	2.76	"{""ai_input_source_quality"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.primary_decision_metric	collected_raw_precursor	categorical	17025	2.76	"{""ai_input_preflight_status"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.sample_floor	collected_raw_precursor	categorical	17025	2.76	"{""one_exact_provenance_row_per_venue_session_decision_point"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.source_quality_gate	collected_raw_precursor	categorical	17025	2.76	"{""fresh_conflict_free_exact_venue_or_bounded_sor_execution_view_provenance"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.observation_contract.window_policy	collected_raw_precursor	categorical	17025	2.76	"{""exact_decision_snapshot"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.position_reconciliation_mode	collected_raw_precursor	categorical	17025	2.76	"{""not_required"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.quality	collected_raw_precursor	categorical	17025	2.76	"{""fresh_consistent"": 14387, ""partial"": 2638}"	computed_or_insufficient	0.04398	0.04657	0.00992	17025
payload.ai_market_snapshot_v1.realtime_type_provenance.0B.actual_execution_venue	collected_raw_precursor	categorical	17025	2.76	"{""UNKNOWN"": 17025}"	computed_or_insufficient				17025
payload.ai_market_snapshot_v1.realtime_type_provenance.0B.age_ms	collected_raw_precursor	numeric	17025	2.76	"{""max"": 2998.317, ""mean"": 692.9911368575613, ""min"": 4.31}"	computed_or_insufficient	-0.06994	0.06699	0.01404	17025
payload.ai_market_snapshot_v1.realtime_type_provenance.0B.effective_venue	collected_raw_precursor	categorical	10670	39.06	"{"""": 1375, ""KRX"": 9295}"	computed_or_insufficient	0.23963	0.21737	0.08975	10670
